"","county","class2014","Agriculture","Barren","Developed","Forest","Grassland","Water","Wetlands"
"1","Chesterfield","Agriculture",90.1837281781924,0.169997602597912,6.61682976265719,0.854346925876686,2.14676459690953,0.0108972822178149,0.0174356515485038
"2","Chesterfield","Barren",0.0963623223319682,87.954709708504,8.98578655745603,0.0963623223319682,1.78270296314141,1.05998554565165,0.0240905805829921
"3","Chesterfield","Developed",0.0164220739304015,0.00732335729328714,99.8226859855353,0.075230852194677,0.0541484599867292,0.0184193531922071,0.00576991786743836
"4","Chesterfield","Forest",0.0554262276909434,0.124254020883279,4.796105935239,89.872552766596,5.0689353366192,0.031766673781078,0.0509590391904793
"5","Chesterfield","Grassland",2.33166335822541,1.16268078268267,8.98950751488799,54.3907741752529,32.5487601222548,0.482087153795255,0.0945268929010303
"6","Chesterfield","Water",0.0986456222672497,0.237282713021222,1.02111549536099,0.794497173936227,1.43702676762291,95.7848992214994,0.626533006291991
"7","Chesterfield","Wetlands",0.022750281534734,0.0318503941486276,1.00669995791198,0.109201351366723,0.0989637246760929,0.293478631798068,98.4370556585638
"8","Colonial_H","Developed",0,0,99.9479407681629,0.00578435909301249,0,0.0462748727441,0
"9","Colonial_H","Forest",0,0,2.61941448382126,97.2265023112481,0.154083204930663,0,0
"10","Colonial_H","Grassland",0,0,33.3333333333333,3.03030303030303,63.6363636363636,0,0
"11","Colonial_H","Water",0,0.118063754427391,1.53482880755608,1.41676505312869,1.06257378984652,93.9787485242031,1.88902007083825
"12","Colonial_H","Wetlands",0,0,0.65266742338252,0,0,0.65266742338252,98.694665153235
"13","Dinwiddie","Agriculture",94.9618262000394,0.0815782023043443,1.27789854550864,1.1545714984956,2.41423491643033,0.0551852544999976,0.0547053827217368
"14","Dinwiddie","Barren",0.391920410009044,96.7741935483871,1.14561350618028,0.391920410009044,1.23605667772083,0.0602954476936991,0
"15","Dinwiddie","Developed",0.206064448754289,0.00466209160077577,98.2983365657168,0.494181709682232,0.972512307921826,0.00466209160077577,0.0195807847232582
"16","Dinwiddie","Forest",0.390514365264143,0.0447639392266519,0.150013201161702,78.8815015721383,20.3930345870437,0.0362431894006673,0.103929145764827
"17","Dinwiddie","Grassland",1.51825458193141,0.0611272491692964,0.796744059685273,78.3003490000209,19.0079622160456,0.111805395916491,0.203757497230988
"18","Dinwiddie","Water",0.472899236085849,0.200072753728629,0.163695889414332,2.81011276827937,4.07420880320116,90.8694070571117,1.40960349217897
"19","Dinwiddie","Wetlands",0.122221303265055,0.0725976162251077,0.0266497578547864,0.338176237605565,0.728733033753297,0.158060632793905,98.5535614185023
"20","Hopewell","Agriculture",100,0,0,0,0,0,0
"21","Hopewell","Barren",0,56.25,6.25,37.5,0,0,0
"22","Hopewell","Developed",0.0278973377969074,0,99.8764546468994,0.0239120038259206,0.0239120038259206,0.0318826717678942,0.0159413358839471
"23","Hopewell","Forest",0,0,2.3650697392359,97.4530018192844,0.0606428138265616,0.121285627653123,0
"24","Hopewell","Grassland",0,0,6.57894736842105,21.0526315789474,72.3684210526316,0,0
"25","Hopewell","Water",0,0,0.437773608505316,0,0,99.3120700437774,0.250156347717323
"26","Hopewell","Wetlands",0,0,0.485584218512898,0,0,0.637329286798179,98.8770864946889
"27","Petersburg","Agriculture",88.5480031737636,0,10.1824914043904,0.528960592435864,0.661200740544829,0,0.0793440888653795
"28","Petersburg","Barren",0,89.873417721519,9.49367088607595,0,0.632911392405063,0,0
"29","Petersburg","Developed",0.0574698881731759,0,99.8563252795671,0.0670482028687052,0.00239457867388233,0.00718373602164699,0.00957831469552932
"30","Petersburg","Forest",0.178076770874555,0,2.32818889328585,96.1020973486347,1.26632370399683,0.0989315393747527,0.0263817438332674
"31","Petersburg","Grassland",3.58744394618834,0,14.5739910313901,27.5784753363229,53.1390134529148,0.224215246636771,0.896860986547085
"32","Petersburg","Water",0.665557404326123,0.499168053244592,3.99334442595674,3.16139767054908,2.82861896838602,83.69384359401,5.15806988352745
"33","Petersburg","Wetlands",0,0,1.02040816326531,0.0453514739229025,0.0680272108843537,0.294784580498866,98.5714285714286
"34","Prince_G","Agriculture",94.0109658371995,0.0465696611837481,2.7388232813159,1.23277801209054,1.79161394629552,0.0158161113454239,0.16343315056938
"35","Prince_G","Barren",0.0788022064617809,93.892828999212,2.60047281323877,0.0788022064617809,0.236406619385343,3.07328605200946,0.0394011032308905
"36","Prince_G","Developed",0.263157894736842,0.00349324639031206,98.9357242664183,0.348160223567769,0.398230088495575,0.0407545412203074,0.0104797391709362
"37","Prince_G","Forest",0.499974214841937,0.246763962663091,0.686400907637564,82.8871641483162,15.5768139858697,0.0268165643855397,0.0760662162859058
"38","Prince_G","Grassland",1.69862738869477,0.212328423586846,1.85411198234498,63.0933074749636,32.9292963068229,0.122047046628659,0.0902813769581863
"39","Prince_G","Water",0.0637653435357883,0.195281364578352,0.0538020086083214,0.151442690897497,0.392555396142197,98.5373824326479,0.605770763589989
"40","Prince_G","Wetlands",0.0331889323644494,0.0296953605366126,0.0375558971492454,0.139742873113471,0.158084125209614,0.215728060368921,99.3860047512577
